,authors,hotels,cr1,cr2,cr3,cr4,cr5,cr6,cr7,cr8
4314,TravelFamily11,192044,5,5,4,5,4,4,4,4
4315,Mariako,192044,5,5,5,5,5,5,5,5
4316,Asaptraveler,192044,5,5,5,5,5,5,5,-1
4317,MGerein,192044,5,4,5,5,5,4,4,3
4318,Him-and-me,192044,4,5,4,4,5,5,5,-1
4319,TXwonderer,192044,5,5,5,5,5,5,4,5
4320,redheadWakefield,192044,5,5,5,5,5,5,5,-1
4321,DawsonUK,192044,5,4,4,4,5,4,4,-1
4322,YoungGun,192044,5,5,5,4,5,5,5,-1
4323,mugseybear,192044,5,-1,5,5,-1,5,5,5
4324,the_dungeoneer,192044,4,4,4,5,5,4,4,-1
4325,Andy123Northampton,192044,5,-1,-1,-1,-1,-1,-1,-1
4326,Bob1949,192044,3,3,2,5,4,4,2,-1
4327,Dribbs,192044,3,3,2,4,2,1,3,-1
4328,robtk,192044,4,5,4,5,4,4,4,3
4329,jhbboy,192044,5,5,5,5,5,4,5,3
4330,patio53,192044,4,4,3,5,5,4,4,3
4331,TWNTI1,192044,5,5,5,5,5,5,5,5
4332,GAP15,192044,4,4,4,3,4,1,4,4
4333,sdrawkcabekiM,192044,3,3,4,4,4,3,2,3
4334,connied76,192044,2,-1,-1,-1,-1,-1,-1,-1
4335,dc_irl,192044,4,-1,-1,-1,-1,-1,-1,-1
4336,pbh73,192044,4,4,4,5,5,5,4,4
4337,TamLeamingtonSpa,192044,5,-1,5,5,5,5,5,-1
4338,Happynoodleboy_uk,192044,5,3,5,5,5,5,5,-1
4339,hansutro,192044,4,4,3,4,4,4,4,3
4340,Gnome2Travel,192044,5,4,4,5,4,5,4,3
4341,cornishtim,192044,4,4,3,4,4,5,4,-1
4342,2141Travel,192044,5,-1,-1,-1,-1,-1,-1,-1
4343,BringHomeTroops,192044,4,5,4,4,2,4,2,1
4344,1STTIMEBERLIN,192044,5,5,5,5,5,5,5,-1
4345,lindale,192044,4,5,5,4,5,4,4,5
4346,Bobby1802,192044,4,4,4,4,4,4,4,3
4347,SunnyC,192044,5,5,5,4,5,5,5,-1
4348,cazatome,192044,5,-1,-1,-1,-1,-1,-1,-1
4349,moonbather,192044,5,-1,5,4,5,5,5,-1
4350,flytoomuch,192044,5,5,5,4,5,3,4,3
4351,DA6,192044,2,2,2,4,5,2,1,2
4352,A TripAdvisor Member,192044,5,-1,-1,-1,-1,-1,-1,-1
4353,A TripAdvisor Member,192044,5,4,5,-1,5,-1,5,-1
4354,A TripAdvisor Member,192044,4,4,5,-1,5,-1,5,-1
4355,robsinclair,192044,4,4,4,-1,4,-1,4,-1
4356,jenialexis,192044,5,5,5,-1,5,-1,5,-1
4357,A TripAdvisor Member,192044,5,5,5,-1,5,-1,5,-1
4358,A TripAdvisor Member,192044,4,3,4,-1,3,-1,3,-1
4359,A TripAdvisor Member,192044,4,3,5,-1,4,-1,3,-1
4360,Dutch Brother,192044,5,5,5,-1,5,-1,5,-1
4361,A TripAdvisor Member,192044,4,5,4,-1,4,-1,4,-1
4362,A TripAdvisor Member,192044,5,5,5,-1,5,-1,4,-1
4363,JJB,192044,4,4,4,-1,5,-1,4,-1
4364,A TripAdvisor Member,192044,4,-1,-1,-1,-1,-1,-1,-1
4365,A TripAdvisor Member,192044,4,4,4,-1,5,-1,4,-1
4366,A TripAdvisor Member,192044,4,4,4,-1,5,-1,3,-1
4367,nandocom,192044,5,4,5,-1,5,-1,5,-1
4368,A TripAdvisor Member,192044,3,-1,-1,-1,-1,-1,-1,-1
4369,A TripAdvisor Member,192044,4,3,4,-1,4,-1,3,-1
4370,A TripAdvisor Member,192044,1,-1,-1,-1,-1,-1,-1,-1
4371,lass=,192044,0,-1,-1,-1,-1,-1,-1,-1
4372,heike28106,192044,3,3,3,3,3,3,3,3
4373,lass=,192044,5,-1,5,-1,5,-1,4,-1
4374,jane_birkin,72586,4,4,4,5,5,4,4,4
4375,PHXTrainer,72586,4,5,3,5,4,5,4,4
4376,PieroG,72586,4,3,4,4,4,4,4,2
4377,LVinWA,72586,5,5,4,5,5,5,5,4
4378,OffTheBeatenPath,72586,3,4,2,2,3,3,3,5
4379,remstar,72586,2,2,3,5,4,2,3,4
4380,manlaw,72586,3,3,3,3,3,4,3,3
4381,A TripAdvisor Member,72586,4,4,4,-1,4,-1,4,-1
4382,A TripAdvisor Member,72586,2,3,4,-1,4,-1,4,-1
4383,A TripAdvisor Member,72586,3,2,2,-1,3,-1,2,-1
4384,Roadtravlr,72586,4,3,4,-1,4,-1,3,-1
4385,A TripAdvisor Member,72586,1,3,2,-1,3,-1,3,-1
4386,A TripAdvisor Member,72586,4,5,4,-1,4,-1,4,-1
4387,A TripAdvisor Member,72586,2,3,3,-1,3,-1,2,-1
4388,A TripAdvisor Member,72586,5,-1,-1,-1,-1,-1,-1,-1
4389,A TripAdvisor Member,72586,2,-1,-1,-1,-1,-1,-1,-1
4390,A TripAdvisor Member,72586,4,-1,-1,-1,-1,-1,-1,-1
4391,A TripAdvisor Member,72586,1,-1,-1,-1,-1,-1,-1,-1
4392,lass=,72586,4,-1,-1,-1,-1,-1,-1,-1
4393,lass=,72586,0,-1,-1,-1,-1,-1,-1,-1
4394,lass=,72586,3,-1,3,-1,3,-1,3,-1
4395,fjnovak1,195793,3,-1,-1,-1,-1,-1,-1,-1
4396,StChris,195793,4,4,4,3,5,4,4,4
4397,A TripAdvisor Member,195793,2,2,3,-1,3,-1,2,-1
4398,A TripAdvisor Member,195793,5,5,5,-1,5,-1,5,-1
4399,A TripAdvisor Member,195793,4,-1,-1,-1,-1,-1,-1,-1
4400,Steve_Ricky,195793,5,-1,-1,-1,-1,-1,-1,-1
4401,A TripAdvisor Member,195793,2,-1,-1,-1,-1,-1,-1,-1
4402,A TripAdvisor Member,195793,1,-1,-1,-1,-1,-1,-1,-1
4403,A TripAdvisor Member,195793,5,-1,-1,-1,-1,-1,-1,-1
4404,516,256527,5,5,5,5,5,5,5,-1
4405,wildthing271,256527,4,4,3,5,4,5,5,-1
4406,NoneColumbus,256527,4,4,3,4,5,5,5,3
4407,ozmadmax,256527,2,3,1,3,3,3,3,1
4408,bellagirl11,256527,2,2,1,4,3,4,4,-1
4409,suntrvlr,256527,4,3,3,5,3,2,3,3
4410,galaga_girl,256527,4,3,5,5,5,5,4,-1
4411,iamsiam,256527,3,3,3,4,3,2,3,3
4412,lithlith,256527,3,3,3,3,3,3,3,-1
4413,AussieKaren,256527,5,5,5,5,5,5,5,4
4414,perfectlyperth,256527,4,4,4,4,5,5,5,3
4415,fishman620,256527,3,3,2,5,2,3,3,-1
4416,Trav11,256527,5,5,5,5,5,5,5,-1
4417,Dierregi,256527,3,3,2,5,2,3,3,-1
4418,SJB100,256527,2,3,2,5,2,5,5,4
4419,davsyd,256527,2,2,2,4,2,5,3,-1
4420,sjturner,256527,3,3,2,1,3,3,3,4
4421,dje,256527,3,3,3,5,4,4,2,3
4422,AndrewandJenny,256527,2,-1,1,4,2,2,2,-1
4423,dancingprincess,256527,5,4,5,5,5,5,5,-1
4424,A TripAdvisor Member,256527,4,-1,5,-1,4,-1,5,-1
4425,A TripAdvisor Member,256527,4,-1,-1,-1,-1,-1,-1,-1
4426,A TripAdvisor Member,256527,4,4,4,-1,3,-1,4,-1
4427,A TripAdvisor Member,256527,2,3,2,-1,3,-1,2,-1
4428,A TripAdvisor Member,256527,3,4,1,-1,3,-1,4,-1
4429,A TripAdvisor Member,256527,1,2,1,-1,1,-1,1,-1
4430,A TripAdvisor Member,256527,3,2,3,-1,5,-1,3,-1
4431,A TripAdvisor Member,256527,3,-1,-1,-1,-1,-1,-1,-1
4432,U2fan,256527,1,-1,-1,-1,-1,-1,-1,-1
4433,A TripAdvisor Member,256527,1,-1,-1,-1,-1,-1,-1,-1
4434,Baltimoron,256527,4,-1,-1,-1,-1,-1,-1,-1
4435,A TripAdvisor Member,256527,1,1,1,-1,2,-1,2,-1
4436,Gluhwein,256527,5,4,5,-1,5,-1,4,-1
4437,A TripAdvisor Member,256527,5,-1,-1,-1,-1,-1,-1,-1
4438,lass=,256527,5,-1,5,-1,5,-1,5,-1
4439,lass=,256527,5,-1,4,-1,4,-1,4,-1
4440,lass=,256527,4,-1,4,-1,-1,-1,4,-1
4441,lass=,256527,0,-1,-1,-1,-1,-1,-1,-1
4442,jessng83,151823,2,1,3,5,1,3,1,-1
4443,RobSport,151823,2,2,1,4,1,1,2,-1
4444,Paisajista,151823,3,4,3,5,3,4,4,-1
4445,A TripAdvisor Member,151823,4,-1,-1,-1,-1,-1,-1,-1
4446,A TripAdvisor Member,151823,3,4,2,-1,4,-1,3,-1
4447,A TripAdvisor Member,151823,1,1,1,-1,2,-1,2,-1
4448,A TripAdvisor Member,151823,2,3,2,-1,2,-1,5,-1
4449,A TripAdvisor Member,151823,1,-1,-1,-1,-1,-1,-1,-1
4450,cbcito,151823,4,-1,-1,-1,-1,-1,-1,-1
4451,A TripAdvisor Member,151823,2,2,2,-1,1,-1,1,-1
4452,A TripAdvisor Member,151823,2,-1,-1,-1,-1,-1,-1,-1
4453,A TripAdvisor Member,151823,2,3,3,-1,3,-1,4,-1
4454,A TripAdvisor Member,151823,3,4,3,-1,4,-1,4,-1
4455,A TripAdvisor Member,151823,1,1,2,-1,2,-1,2,-1
4456,A TripAdvisor Member,151823,5,-1,-1,-1,-1,-1,-1,-1
4457,A TripAdvisor Member,151823,3,-1,-1,-1,-1,-1,-1,-1
4458,A TripAdvisor Member,151823,4,5,4,-1,4,-1,4,-1
4459,lass=,151823,3,-1,3,-1,3,-1,4,-1
4460,lass=,151823,3,-1,2,-1,2,-1,4,-1
4461,lass=,151823,4,-1,5,-1,4,-1,4,-1
4462,lass=,151823,3,-1,3,-1,2,-1,4,-1
4463,lass=,151823,3,-1,3,-1,3,-1,3,-1
4464,Marybs6,260621,1,2,1,1,3,3,4,2
4465,NeilandBarbara,260621,4,4,4,3,5,5,4,-1
4466,hschulze,260621,1,-1,1,1,3,3,1,3
4467,Earby,260621,4,5,5,5,5,5,5,5
4468,lolabug,260621,5,5,4,4,5,5,4,4
4469,A TripAdvisor Member,260621,4,-1,-1,-1,-1,-1,-1,-1
4470,kkeating,191438,4,3,4,5,4,5,5,3
4471,Issyk-Kul,191438,4,4,3,5,5,5,4,-1
4472,EuroTravellerLDN,191438,5,3,5,5,5,4,5,5
4473,lebelgo,191438,4,3,4,5,5,5,5,2
4474,sighttraveler10,191438,5,-1,-1,-1,-1,-1,-1,-1
4475,Berkshire_UK,191438,5,5,5,5,5,5,5,5
4476,cpg75,191438,3,-1,-1,-1,-1,-1,-1,-1
4477,DamianLittle,191438,4,4,5,5,5,5,5,5
4478,I_Mallon,191438,5,5,4,4,5,5,4,5
4479,Commodore,191438,4,4,5,5,5,5,5,-1
4480,Flaesb,191438,5,5,5,5,5,5,5,5
4481,Zurich,191438,3,3,4,5,4,3,4,-1
4482,TwoHavlesofCoconuts,191438,5,5,5,5,5,5,5,4
4483,Esteven,191438,4,-1,-1,-1,-1,-1,-1,-1
4484,Nick_From_Manchester,191438,4,4,4,5,5,5,4,5
4485,Stonerman,191438,5,5,5,5,4,3,3,-1
4486,bickley,191438,5,5,4,5,5,5,5,-1
4487,NJtraveler48,191438,2,3,4,5,4,2,4,-1
4488,halopes,191438,5,4,5,5,5,5,5,5
4489,FirstClassTraveller,191438,3,3,3,5,3,4,4,3
4490,chiliyo,191438,5,-1,-1,-1,-1,-1,-1,-1
4491,richardlondon,191438,4,3,4,4,4,4,4,4
4492,platinum1,191438,4,-1,5,5,4,5,5,5
4493,A TripAdvisor Member,191438,3,3,3,-1,3,-1,1,-1
4494,AK-in-NC,191438,5,4,5,-1,5,-1,4,-1
4495,traveller1959,191438,5,5,5,-1,5,-1,5,-1
4496,cliff_rock,191438,4,2,4,-1,4,-1,5,-1
4497,kml-kml,191438,5,4,5,-1,5,-1,5,-1
4498,SueGrogan,191438,3,3,3,-1,4,-1,4,-1
4499,MMmd,191438,5,5,4,-1,5,-1,5,-1
4500,A TripAdvisor Member,191438,5,5,5,-1,5,-1,5,-1
4501,A TripAdvisor Member,191438,5,4,5,-1,4,-1,4,-1
4502,JanBerlin,191438,4,3,3,-1,5,-1,4,-1
4503,A TripAdvisor Member,191438,3,2,3,-1,4,-1,2,-1
4504,WorldTraveller10101,191438,5,-1,-1,-1,-1,-1,-1,-1
4505,efal,191438,4,4,4,-1,4,-1,4,-1
4506,A TripAdvisor Member,191438,5,5,3,-1,5,-1,5,-1
4507,paul_nl,191438,5,-1,-1,-1,-1,-1,-1,-1
4508,A TripAdvisor Member,191438,5,-1,-1,-1,-1,-1,-1,-1
4509,Whinbrook,191438,4,-1,-1,-1,-1,-1,-1,-1
4510,A TripAdvisor Member,191438,4,-1,-1,-1,-1,-1,-1,-1
4511,lass=,191438,5,-1,4,-1,-1,-1,4,-1
4512,lass=,191438,4,-1,4,-1,-1,-1,4,-1
4513,lass=,191438,4,-1,3,-1,4,-1,4,-1
4514,lass=,191438,5,-1,4,-1,5,-1,5,-1
4515,lass=,191438,4,-1,5,-1,5,-1,4,-1
4516,lass=,191438,4,-1,4,-1,5,-1,4,-1
4517,lass=,191438,5,-1,5,-1,5,-1,5,-1
4518,lass=,191438,5,-1,5,-1,4,-1,5,-1
4519,lass=,191438,4,-1,4,-1,5,-1,5,-1
4520,lass=,191438,4,-1,5,-1,4,-1,5,-1
4521,lass=,191438,5,-1,5,-1,5,-1,4,-1
4522,lass=,191438,4,-1,3,-1,5,-1,5,-1
4523,lass=,191438,5,-1,4,-1,5,-1,4,-1
4524,lass=,191438,4,-1,4,-1,4,-1,4,-1
4525,lass=,191438,4,-1,3,-1,5,-1,4,-1
4526,lass=,191438,4,-1,3,-1,4,-1,3,-1
4527,lass=,191438,4,-1,4,-1,4,-1,5,-1
4528,lass=,191438,5,-1,4,-1,4,-1,5,-1
4529,lass=,191438,1,-1,1,-1,1,-1,1,-1
4530,lass=,191438,5,-1,4,-1,4,-1,4,-1
4531,lass=,191438,4,-1,2,-1,3,-1,4,-1
4532,lass=,191438,1,-1,1,-1,1,-1,2,-1
4533,lass=,191438,4,-1,3,-1,2,-1,4,-1
4534,lass=,191438,2,-1,3,-1,1,-1,2,-1
4535,lass=,191438,4,-1,3,-1,3,-1,5,-1
4536,lass=,191438,4,-1,5,-1,4,-1,4,-1
4537,lass=,191438,4,-1,3,-1,4,-1,5,-1
4538,lass=,191438,1,-1,1,-1,2,-1,1,-1
4539,lass=,191438,3,-1,2,-1,2,-1,4,-1
4540,lass=,191438,1,-1,2,-1,1,-1,1,-1
4541,lass=,191438,4,-1,4,-1,3,-1,4,-1
4542,lass=,191438,3,-1,2,-1,5,-1,5,-1
4543,lass=,191438,4,-1,5,-1,5,-1,5,-1
4544,lass=,191438,3,-1,4,-1,2,-1,4,-1
4545,lass=,191438,3,-1,3,-1,3,-1,3,-1
4546,lass=,191438,3,-1,4,-1,3,-1,4,-1
4547,lass=,191438,5,-1,4,-1,-1,-1,5,-1
4548,lass=,191438,3,-1,4,-1,5,-1,3,-1
4549,bg148,191438,4,4,4,5,4,4,4,4
4550,lass=,191438,0,-1,-1,-1,-1,-1,-1,-1
4551,pandoras_chocolates,502108,4,4,4,3,4,4,4,3
4552,karin stockholm,502108,4,5,5,5,5,5,5,-1
4553,generx,502108,4,4,4,4,4,4,5,-1
4554,Grainnew,502108,4,5,4,4,4,4,4,-1
4555,Svein,502108,4,-1,-1,-1,-1,-1,-1,-1
4556,lass=,502108,1,-1,2,-1,1,-1,1,-1
4557,lass=,502108,5,-1,5,-1,5,-1,5,-1
4558,lass=,502108,4,-1,3,-1,4,-1,4,-1
4559,lass=,502108,5,-1,4,-1,5,-1,5,-1
4560,lass=,502108,5,-1,5,-1,5,-1,4,-1
4561,lass=,502108,4,-1,5,-1,5,-1,4,-1
4562,lass=,502108,5,-1,5,-1,4,-1,5,-1
4563,lass=,502108,2,-1,2,-1,2,-1,1,-1
4564,lass=,502108,4,-1,3,-1,4,-1,5,-1
4565,nicefrenchy,502108,5,5,5,4,5,5,4,3
4566,lass=,502108,2,-1,2,-1,2,-1,2,-1
4567,reisefee30,502108,5,-1,-1,-1,-1,-1,-1,-1
4568,lass=,502108,5,-1,4,-1,4,-1,4,-1
4569,lass=,502108,4,-1,4,-1,5,-1,4,-1
4570,lass=,502108,4,-1,4,-1,4,-1,4,-1
4571,lass=,502108,4,-1,4,-1,4,-1,5,-1
4572,UlrikaRu,739096,2,2,3,1,5,2,3,1
4573,whomever,739096,2,2,3,4,3,2,4,4
4574,jcn2045,306179,2,3,-1,2,4,4,3,5
4575,RickNet,306179,3,4,3,5,4,4,4,4
4576,trevostar,306179,2,1,1,4,3,5,5,4
4577,AsianGeekette,306179,2,-1,-1,-1,-1,-1,-1,-1
4578,Linus6jul,306179,2,2,2,4,4,3,3,3
4579,A TripAdvisor Member,306179,4,4,4,-1,5,-1,4,-1
4580,Marms&Elms,306179,2,2,1,-1,3,-1,2,-1
4581,Mazworldtraveller,306179,4,3,3,-1,4,-1,4,-1
4582,poohpaws,306179,3,3,3,-1,4,-1,3,-1
4583,A TripAdvisor Member,306179,4,4,4,-1,3,-1,4,-1
4584,chendol,306179,1,2,1,-1,1,-1,3,-1
4585,A TripAdvisor Member,306179,1,1,2,-1,2,-1,1,-1
4586,A TripAdvisor Member,306179,5,-1,-1,-1,-1,-1,-1,-1
4587,lass=,306179,2,-1,1,-1,-1,-1,3,-1
4588,lass=,306179,5,-1,5,-1,-1,-1,5,-1
4589,lass=,306179,5,-1,5,-1,-1,-1,4,-1
4590,A TripAdvisor Member,306179,4,2,4,-1,5,-1,3,-1
4591,lass=,306179,2,-1,2,-1,-1,-1,3,-1
4592,BEEPfromPARIS,256603,4,4,-1,-1,-1,-1,-1,-1
4593,A TripAdvisor Member,256603,4,4,4,-1,4,-1,4,-1
4594,marsbar_540,214680,5,5,5,5,5,5,5,3
4595,CanadianBoys,214680,2,2,2,3,2,3,3,1
4596,intrepudtraveller,214680,1,1,1,-1,3,5,2,2
4597,heather29,214680,2,3,2,5,2,3,3,-1
4598,GreatDaneDanmark,214680,4,4,3,5,5,5,4,4
4599,carajano,214680,3,3,3,5,3,3,3,-1
4600,OCDaddy1958,214680,4,5,4,5,4,4,-1,3
4601,spurg,214680,5,5,4,5,4,5,4,-1
4602,lass=,214680,4,-1,4,-1,-1,-1,4,-1
4603,lass=,214680,4,-1,3,-1,-1,-1,4,-1
4604,lass=,214680,4,-1,5,-1,4,-1,3,-1
4605,lass=,214680,3,-1,3,-1,4,-1,3,-1
4606,lass=,214680,4,-1,3,-1,4,-1,4,-1
4607,lass=,214680,5,-1,5,-1,5,-1,5,-1
4608,BrisCaz,257798,3,3,4,-1,3,3,2,3
4609,tanyatia,257798,3,3,3,2,4,5,5,-1
4610,dancingprincess,257798,3,2,4,3,4,2,3,-1
4611,JUDITHbristol,257798,2,2,2,3,2,3,4,4
4612,AussieKaren,257798,2,2,1,4,3,4,1,-1
4613,digger2,257798,4,4,4,5,3,3,3,3
4614,pommie01,257798,2,3,1,2,2,4,2,2
4615,A TripAdvisor Member,257798,1,-1,-1,-1,-1,-1,-1,-1
4616,A TripAdvisor Member,257798,5,5,4,-1,5,-1,5,-1
4617,joop1,296915,4,5,4,5,5,5,5,-1
4618,swatts1,296915,5,4,5,5,5,5,5,-1
4619,Fridaysmom,296915,3,3,3,5,4,3,3,4
4620,mrkz,296915,2,2,3,4,3,1,2,3
4621,kirfunk,296915,4,4,4,5,5,4,4,4
4622,ggtirevite,296915,5,4,5,5,5,4,5,-1
4623,Sackville,296915,5,4,4,4,4,4,4,4
4624,Fastbloke,296915,5,5,5,5,5,5,4,4
4625,MaximillianAmsterdam,296915,5,5,4,5,4,4,4,4
4626,Jet-Setter-SF,296915,4,4,4,5,4,5,4,5
4627,sfjonathan,296915,5,-1,-1,-1,-1,-1,-1,-1
4628,Lexicles,296915,5,5,4,5,5,5,5,4
4629,Writer/Director,296915,3,3,3,4,3,3,3,4
4630,Bridgechick,296915,5,-1,-1,-1,-1,-1,-1,-1
4631,Escapefromthedesert,296915,5,4,5,5,5,4,4,-1
4632,cafoodie2,296915,5,4,5,4,5,3,5,-1
4633,NeilandBarbara,296915,4,3,4,5,5,5,4,4
4634,mmctrip,296915,4,4,4,5,5,5,4,-1
4635,Valleygirl,296915,5,5,4,5,5,5,5,4
4636,Jade97,296915,5,5,5,5,5,5,5,-1
4637,Travellers286,296915,5,5,4,5,4,4,4,-1
4638,ruienc,296915,3,3,3,5,5,3,5,-1
4639,Canada_One,296915,3,3,2,5,2,2,5,-1
4640,amysa,296915,5,-1,4,5,5,5,4,5
4641,SWP,296915,5,5,4,5,5,5,5,5
4642,jillybeansan,296915,3,3,2,5,3,3,2,4
4643,hartss,296915,5,4,5,5,5,5,5,5
4644,PHILIPMARSHALL,296915,4,4,3,5,4,5,4,3
4645,Esteven,296915,4,-1,-1,-1,-1,-1,-1,-1
4646,A TripAdvisor Member,296915,5,5,5,-1,5,-1,5,-1
4647,A TripAdvisor Member,296915,4,3,4,-1,4,-1,4,-1
4648,A TripAdvisor Member,296915,5,-1,-1,-1,-1,-1,-1,-1
4649,Karen7,296915,5,5,5,-1,5,-1,5,-1
4650,A TripAdvisor Member,296915,5,5,4,-1,5,-1,5,-1
4651,A TripAdvisor Member,296915,5,5,4,-1,5,-1,4,-1
4652,lass=,296915,4,5,3,-1,3,-1,4,-1
4653,AndrewandJenny,296915,5,4,4,-1,4,-1,5,-1
4654,A TripAdvisor Member,296915,4,4,4,-1,4,-1,5,-1
4655,A TripAdvisor Member,296915,4,4,3,-1,3,-1,4,-1
4656,KeithTalent,296915,2,3,3,-1,3,-1,2,-1
4657,SonOfBruin2,296915,5,3,4,-1,5,-1,5,-1
4658,lrnyn,296915,4,-1,-1,-1,-1,-1,-1,-1
4659,Massimo_C,296915,4,2,4,-1,4,-1,3,-1
4660,A TripAdvisor Member,296915,4,3,5,-1,4,-1,5,-1
4661,A TripAdvisor Member,296915,5,5,5,-1,5,-1,4,-1
4662,sftravel,296915,5,4,5,-1,5,-1,5,-1
4663,A TripAdvisor Member,296915,4,5,5,-1,5,-1,5,-1
4664,A TripAdvisor Member,296915,2,-1,-1,-1,-1,-1,-1,-1
4665,lass=,296915,5,-1,5,-1,5,-1,5,-1
4666,lass=,296915,4,-1,4,-1,5,-1,4,-1
4667,lass=,296915,5,-1,4,-1,5,-1,4,-1
4668,lass=,296915,4,-1,5,-1,5,-1,3,-1
4669,lass=,296915,4,-1,4,-1,4,-1,4,-1
4670,lass=,296915,3,-1,3,-1,3,-1,3,-1
4671,lass=,296915,3,3,3,-1,3,-1,4,-1
4672,lass=,296915,4,5,4,-1,4,-1,5,-1
4673,lass=,296915,4,-1,2,-1,5,-1,5,-1
4674,lass=,296915,4,4,5,-1,5,-1,5,-1
4675,lass=,296915,5,-1,4,-1,4,-1,5,-1
4676,lass=,296915,4,-1,3,-1,5,-1,5,-1
4677,Nicolas_from_Paris,296915,5,5,5,5,5,5,5,-1
4678,lass=,296915,5,-1,5,-1,4,-1,5,-1
4679,lass=,296915,3,-1,3,-1,4,-1,2,-1
4680,lass=,296915,5,-1,5,-1,5,-1,4,-1
4681,Menorca2006,296915,4,-1,-1,-1,-1,-1,-1,-1
4682,Veivalina,151961,5,5,4,5,4,5,-1,-1
4683,bonjonsc,151961,3,3,2,4,4,3,3,4
4684,keypeds,151961,4,5,4,5,5,5,3,3
4685,kristumz,151961,4,5,4,5,5,5,5,4
4686,kevart,151961,1,1,1,3,2,3,2,-1
4687,1allsop,151961,4,5,3,5,5,3,3,5
4688,Seala,151961,3,3,3,3,4,4,3,-1
4689,TravelinGatorFans,151961,2,2,2,3,3,3,3,-1
4690,craigh,151961,5,5,5,5,5,5,5,-1
4691,Gordy2,151961,5,4,5,4,5,4,4,-1
4692,anneloo,151961,4,-1,-1,-1,-1,-1,-1,-1
4693,DrRhythm,151961,5,5,3,5,5,5,-1,-1
4694,godessathena,151961,4,4,3,4,4,3,3,-1
4695,leelow13,151961,4,-1,-1,-1,-1,-1,-1,-1
4696,A TripAdvisor Member,151961,4,-1,-1,-1,-1,-1,-1,-1
4697,Dog-man,151961,4,5,3,-1,4,-1,3,-1
4698,A TripAdvisor Member,151961,5,5,3,-1,5,-1,5,-1
4699,WorldTraveller65,151961,3,-1,-1,-1,-1,-1,-1,-1
4700,A TripAdvisor Member,151961,5,5,5,-1,5,-1,5,-1
4701,A TripAdvisor Member,151961,5,-1,-1,-1,-1,-1,-1,-1
4702,amannva,151961,4,5,5,-1,5,-1,5,-1
4703,A TripAdvisor Member,151961,5,4,3,-1,4,-1,4,-1
4704,A TripAdvisor Member,151961,5,5,4,-1,5,-1,4,-1
4705,A TripAdvisor Member,151961,2,2,2,-1,3,-1,3,-1
4706,JerryMadison,151961,4,4,3,-1,3,-1,4,-1
4707,A TripAdvisor Member,151961,5,5,4,-1,5,-1,5,-1
4708,A TripAdvisor Member,151961,4,5,4,-1,4,-1,4,-1
4709,InMiami,151961,2,2,2,-1,3,-1,3,-1
4710,A TripAdvisor Member,151961,3,-1,-1,-1,-1,-1,-1,-1
4711,A TripAdvisor Member,151961,5,3,4,-1,5,-1,5,-1
4712,A TripAdvisor Member,151961,1,1,1,-1,2,-1,2,-1
4713,A TripAdvisor Member,151961,4,4,4,-1,4,-1,4,-1
4714,A TripAdvisor Member,151961,4,5,3,-1,3,-1,4,-1
4715,A TripAdvisor Member,151961,4,4,5,-1,5,-1,5,-1
4716,A TripAdvisor Member,151961,4,5,4,-1,4,-1,5,-1
4717,A TripAdvisor Member,151961,4,5,3,-1,5,-1,5,-1
4718,A TripAdvisor Member,151961,4,4,4,-1,5,-1,5,-1
4719,A TripAdvisor Member,151961,2,-1,-1,-1,-1,-1,-1,-1
4720,A TripAdvisor Member,151961,5,4,5,-1,5,-1,5,-1
4721,A TripAdvisor Member,151961,5,4,4,-1,5,-1,5,-1
4722,A TripAdvisor Member,151961,4,4,3,-1,5,-1,5,-1
4723,A TripAdvisor Member,151961,4,5,4,-1,5,-1,5,-1
4724,lanacaine,151961,4,5,3,-1,4,-1,4,-1
4725,A TripAdvisor Member,151961,4,5,3,-1,4,-1,4,-1
4726,A TripAdvisor Member,151961,3,3,4,-1,3,-1,3,-1
4727,SZ,151961,4,5,3,-1,4,-1,4,-1
4728,A TripAdvisor Member,151961,1,-1,-1,-1,-1,-1,-1,-1
4729,rebecca2u,151961,2,-1,-1,-1,-1,-1,-1,-1
4730,A TripAdvisor Member,151961,4,3,3,-1,2,-1,5,-1
4731,lass=,151961,3,-1,-1,-1,-1,-1,-1,-1
4732,vaneegh,219988,4,-1,-1,-1,-1,-1,-1,-1
4733,matthew.cronin,219988,5,3,4,5,5,5,5,5
4734,shimmykim,219988,5,5,4,3,5,5,5,4
4735,CSN,219988,5,5,5,5,5,5,5,-1
4736,joan1,219988,5,5,5,5,5,5,5,-1
4737,hixy,219988,4,3,5,5,4,5,4,3
4738,Wine_Gums_Addict,219988,4,3,3,3,4,4,3,3
4739,jah123,219988,4,4,4,5,5,5,5,3
4740,Spockie,219988,5,5,4,5,5,4,5,-1
4741,Jemimagold,219988,4,4,5,2,-1,5,5,-1
4742,ALJ,219988,5,5,5,5,5,4,5,-1
4743,KSSydney,219988,5,-1,-1,-1,-1,-1,-1,-1
4744,mtwojo78,219988,4,4,4,5,5,4,5,3
4745,aber-fan,219988,4,5,3,5,4,5,5,-1
4746,pml,219988,5,5,5,-1,5,5,5,-1
4747,treetravel,219988,5,5,4,5,5,4,5,3
4748,italymaven,219988,5,-1,-1,-1,-1,-1,-1,-1
4749,A TripAdvisor Member,219988,4,3,3,-1,1,-1,3,-1
